"Resident Population.age-specific baseline mortality rate[male, age]",0.002,0.00015,0.00015,0.00015,0.00015,0.00015,7.14286E-05,7.14286E-05,7.14286E-05,7.14286E-05,7.14286E-05,0.000114286,0.000114286,0.000114286,0.000114286,0.000114286,0.00025,0.00025,0.00025,0.00025,0.00025,0.000378571,0.000378571,0.000378571,0.000378571,0.000378571,0.000371429,0.000371429,0.000371429,0.000371429,0.000371429,0.000464286,0.000464286,0.000464286,0.000464286,0.000464286,0.00065,0.00065,0.00065,0.00065,0.00065,0.001092857,0.001092857,0.001092857,0.001092857,0.001092857,0.001842857,0.001842857,0.001842857,0.001842857,0.001842857,0.003085714,0.003085714,0.003085714,0.003085714,0.003085714,0.005228571,0.005228571,0.005228571,0.005228571,0.005228571,0.008478571,0.008478571,0.008478571,0.008478571,0.008478571,0.013735714,0.013735714,0.013735714,0.013735714,0.013735714,0.023264286,0.023264286,0.023264286,0.023264286,0.023264286,0.039357143,0.039357143,0.039357143,0.039357143,0.039357143,0.067292857,0.067292857,0.067292857,0.067292857,0.067292857,0.111721429,0.111721429,0.111721429,0.111721429,0.111721429,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714,0.173685714
"Resident Population.age-specific baseline mortality rate[female, age]",0.001878571,0.0001,0.0001,0.0001,0.0001,0.0001,7.14286E-05,7.14286E-05,7.14286E-05,7.14286E-05,7.14286E-05,8.57143E-05,8.57143E-05,8.57143E-05,8.57143E-05,8.57143E-05,0.000157143,0.000157143,0.000157143,0.000157143,0.000157143,0.000171429,0.000171429,0.000171429,0.000171429,0.000171429,0.000185714,0.000185714,0.000185714,0.000185714,0.000185714,0.000264286,0.000264286,0.000264286,0.000264286,0.000264286,0.000392857,0.000392857,0.000392857,0.000392857,0.000392857,0.000635714,0.000635714,0.000635714,0.000635714,0.000635714,0.001092857,0.001092857,0.001092857,0.001092857,0.001092857,0.001835714,0.001835714,0.001835714,0.001835714,0.001835714,0.002921429,0.002921429,0.002921429,0.002921429,0.002921429,0.004535714,0.004535714,0.004535714,0.004535714,0.004535714,0.007314286,0.007314286,0.007314286,0.007314286,0.007314286,0.0124,0.0124,0.0124,0.0124,0.0124,0.023557143,0.023557143,0.023557143,0.023557143,0.023557143,0.044007143,0.044007143,0.044007143,0.044007143,0.044007143,0.079278571,0.079278571,0.079278571,0.079278571,0.079278571,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143,0.154507143
Resident Population.fertility rate[race],0.0286114,0.045907618,0.04244517,0.096106119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population.gender proportion of babies[gender],0.48,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Resident Population.resident population[Chinese, male, age]",0,11690,13107,13950,13455,13487,13571,13356,14338,14505,17005,16697,15834,17430,18070,18586,18931,19051,19018,18352,19485,18320,20385,18161,15176,16447,17921,17645,19421,20061,19949,20134,20515,19805,21675,20834,20944,22355,23515,22760,22362,21187,20958,22171,22038,23786,23840,24638,24439,23844,24238,24103,24187,23577,23634,22634,21785,21675,20195,19017,18028,17950,17426,16157,15756,10845,8246,10067,8737,8412,9557,9180,8616,6932,5621,5579,5823,4989,4479,4093,3593,3222,2843,2371,2108,1639,1394,1157,989,801,693,542,432,357,276,193,174,120,88,79,67,203
"Resident Population.resident population[Chinese, female, age]",0,11185,12384,13323,12864,12868,13017,12598,13749,13769,15956,15514,14790,16486,16984,17635,17837,18448,17940,18052,19025,17704,20184,17837,15012,16495,18214,18512,20599,21441,21808,21914,22664,22086,24153,22899,23075,24651,25686,24861,24551,23386,23104,23577,22871,24255,23859,24781,24285,23825,23812,23940,23963,23559,23628,22693,21867,21018,19889,19097,18006,18164,17480,16789,16480,11286,8727,10866,9102,9420,10901,10600,10107,7923,6421,6368,7385,6493,5913,5605,5138,4929,4737,4232,3762,3205,2595,2384,2188,1861,1610,1405,1142,985,791,631,503,392,343,235,168,446
"Resident Population.resident population[Malay, male, age]",0,3016,3261,3308,3458,3453,3440,3484,3725,4089,4322,4246,4489,4484,4593,4710,4781,5098,5044,4937,5210,5001,4811,4588,4053,4204,4025,3816,3902,3638,3514,3159,2849,2801,2766,2764,3079,3090,3456,3295,3227,3004,3332,3800,4053,4306,4290,4614,4405,4453,4326,4252,4009,3804,3545,3355,3172,3097,2642,2343,2143,2104,1907,1861,1945,1114,845,1059,782,734,917,932,892,773,705,681,802,634,555,434,379,407,405,347,310,237,211,158,149,136,71,71,50,50,40,14,6,7,7,8,3,12
"Resident Population.resident population[Malay, female, age]",0,2906,3096,3260,3159,3286,3233,3416,3534,3723,3912,4111,3951,4357,4258,4390,4508,4713,4732,4866,4738,4897,4567,4361,4034,3993,4005,3732,3851,3590,3580,3241,3157,3058,2967,3045,3225,3315,3523,3526,3463,3248,3609,3798,4299,4520,4473,4630,4462,4433,4331,4186,3965,3828,3559,3433,3268,3108,2807,2625,2330,2325,2081,2039,2053,1179,991,1244,1009,973,1108,1112,1129,922,680,888,1117,953,740,637,501,536,472,426,376,201,230,164,179,163,76,66,54,55,40,10,13,10,14,12,4,10
"Resident Population.resident population[Indian, male, age]",0,1447,2236,2739,2874,2820,2698,2782,2634,2630,2569,2581,2434,2388,2326,2291,2301,2311,2336,2176,2190,2171,2158,2120,2101,2071,2186,2314,2680,3037,3364,3554,3665,3806,4055,3910,4195,4027,4034,4132,3911,3636,3564,3412,3433,3337,3146,3140,2864,2776,2773,2743,2556,2390,2133,2106,1848,1757,1745,1541,1369,1451,1284,1247,1212,734,613,653,573,655,638,656,504,434,390,398,418,398,439,410,378,369,328,257,228,224,181,149,99,93,60,54,57,44,32,35,23,17,9,19,4,37
"Resident Population.resident population[Indian, female, age]",0,1480,2274,2812,2888,2855,2812,2697,2668,2571,2494,2416,2458,2421,2339,2292,2265,2357,2273,2293,2267,2192,2154,2265,2168,2288,2683,2797,3236,3366,3663,3778,3553,3414,3396,3284,3198,3089,2962,2840,2697,2547,2529,2502,2545,2588,2533,2594,2555,2448,2422,2363,2152,2100,1965,1935,1848,1697,1544,1540,1419,1449,1390,1220,1273,749,648,653,603,674,666,714,657,592,515,514,531,423,403,358,289,309,251,236,185,128,121,98,100,64,46,36,30,22,23,7,6,6,5,8,2,7
"Resident Population.resident population[Other, male, age]",0,540,945,1052,1066,986,1046,1076,997,974,974,939,861,836,768,708,653,584,552,488,505,458,466,420,390,441,531,623,667,928,1077,1249,1263,1294,1457,1493,1559,1549,1654,1618,1556,1549,1307,1445,1338,1339,1219,1158,1131,1009,934,873,770,743,669,638,580,533,483,439,430,442,368,389,372,232,199,184,169,139,142,153,119,118,106,98,80,83,85,68,74,67,59,39,40,32,31,26,18,19,11,8,11,7,2,4,1,2,1,2,2,6
"Resident Population.resident population[Other, female, age]",0,524,1047,1118,1105,1108,1098,1063,1053,1030,1067,961,1004,962,878,824,750,670,687,714,612,550,608,628,612,699,883,1079,1235,1410,1656,1685,1820,1803,1905,1817,1894,1847,1804,1764,1735,1637,1518,1350,1369,1194,1088,1041,946,864,840,781,669,581,551,472,456,395,367,328,265,310,261,266,258,147,108,108,135,124,130,131,122,104,118,114,107,104,86,77,104,74,77,70,65,36,31,35,31,34,25,20,16,14,8,10,7,10,4,7,4,3
"Resident Population.net migration rate[Chinese, male, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Chinese, female, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Malay, male, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Malay, female, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Indian, male, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Indian, female, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Other, male, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident Population.net migration rate[Other, female, age]",0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Population.target total resident population,4600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frail Population.age as a number[age],0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
"Frail Population.frail diagnosed[Chinese, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Chinese, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Malay, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Malay, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Indian, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Indian, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Other, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.frail diagnosed[Other, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.pre-frail diagnosed[Chinese, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.pre-frail diagnosed[Chinese, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.pre-frail diagnosed[Malay, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.pre-frail diagnosed[Malay, female, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frail Population.pre-frail diagnosed[Indian, male, age]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
